GE725463	AADAT; ACACA; APOOL; ATG12; BMP8B; C10orf46; C11orf58; CALN1; CCDC142; CLCN5; CNNM3; CXorf38; IRGQ; LARS; LOC729991; MRTO4; MYLK3; NLRP12; ORAI2; PLA2G12A; RNF125; SC5DL; SLC48A1; SNTB2; THEM4; UAP1L1; ZFR2
GE727553	ASB6; BMP3; BMP8A; FAM117B; GTF2H5; ME2; MYLK3; PACS2; SS18; ZNF329; ZNF655; ZNF793
GE728989	ALPK1; GPLD1
GE729994	CA13; METTL10; NFKBIZ; PCDHA9; PLEKHG2; SLC35E2B; ZNF43
GE732225	APOL6; CAMKK2; PROM2
GE736196	COX16; GK5
GE742535	CGB1; CGB2
GE744076	ACBD7; ATP6V0A2; C6orf132; CAMLG; CYP2W1; OPA3; PAPLN; PDE6B; SLC14A2; SLX4; WIPF2; ZNF674
GE744083	ANTXR2; NR2C1; PALM2; RIOK2; ZNF555
GE745516	AFMID; CD109; KIAA0226; SLC31A1; SPAG9
GE749430	GDAP2; KIF3A; SNTB2; ZNF709
GE750925	FAT3; INMT; SCN9A
GE751807	ALDH1L2; C6orf97; CYCS; GTF2IRD2; GTF2IRD2B; INPP5B; KREMEN1; OCIAD1; RPS23; TTPAL; ZNF321; ZNF33A; ZNF786
GE752265	ALG1; C5AR1; CD84; CHP; MRTO4; PLCXD1; RFX4; RPP14; USP14; USP49; ZNF619
GE752573	ZNF519; ZNF841
GE753488	PRAMEF15; PRAMEF4; PRAMEF5; PRAMEF6; PRAMEF9
GE753916	GUF1; METTL7A; PCGF5; SCAI; SMYD4; STOM; TFDP2
GE756895	PRAMEF10; PRAMEF16; PRAMEF17
GE757369	KIAA0562; ORAI2; SNAP23
GE765531	SSX1; SSX2; SSX2B; SSX4; SSX4B; SSX5
GE765702	C5orf60; FOXK1; NHEJ1; SIGLEC10; SNX1
GE768333	FAM72A; FAM72B; FAM72D
GE769552	NUAK2; ORAI2; PLGLB1; PLGLB2
GE770435	AS3MT; ATF5; CD28; PNO1; SPAST
GE770646	CCL22; ORAI2; SFXN3; USP37
GE771943	EAF1; ZNF639
GE772561	BMP8A; TLCD2
GE773287	ARSK; CXorf56
GE775531	ARGFX; MTMR12
GE775556	ACSS3; TBC1D5
GE779096	LRRC37A; LRRC37A2; LRRC37A3
GE782153	ANKRD22; LIPM
GE785701	THAP2; ZNF507
GE787272	GSR; NEDD4L; RAB3IP
GE787775	ERCC1; ZNF613
GE78956	RHOXF2; RHOXF2B
GE79007	DDT; DDTL
GE79027	MLX; PSMC3IP
GE79028	UBE2N; UBE2NL
GE79068	TUBB2A; TUBB2B
GE79076	RAET1L; ULBP2; ULBP3
GE790788	SAMD8; ZNF519
GE790872	F2RL3; OPA3
GE791333	G6PC2; RRP7A; WBSCR22
GE79206	MGC87042; STEAP1
GE79234	HIST2H2AA3; HIST2H2AA4
GE792700	BMP8A; BMP8B
GE792732	GGT1; GGTLC2
GE79405	C1orf104; FDPS
GE79445	GP1BB; SEPT5
GE795355	RAB19; RAB43
GE79550	HIST1H2AD; HIST1H3D
GE79559	HIST2H3A; HIST2H3C
GE79610	LIMK2; PPP1R14B
GE79643	BAGE; BAGE2; BAGE3; BAGE4; BAGE5; MLL3
GE796788	DEFB105A; DEFB105B
GE796885	CD82; CYB561; INTS7; MAPK1IP1L; MTFMT; PARD6B; PXMP4; TMEM17; TTC39C
GE79692	EIF5A; EIF5AL1
GE797245	ATP1B4; CDCP1; FXYD2; MRPS25; PALM2; PPIL2; TECPR2; UBE2G1; ZNF470
GE79754	C19orf33; YIF1B
GE79823	ICA1L; PIGY
GE798241	LRRN4CL; TMEM213
GE79828	BECN1; CNTD1
GE79846	CTRB1; CTRB2
GE79891	APOBEC3C; APOBEC3D; APOBEC3F
GE79899	PPIA; PPIAL4A; PPIAL4B; PPIAL4C; PPIAL4D; PPIAL4E; PPIAL4F; PPIAL4G
GE79903	CCPG1; PIGB
GE79916	HBA1; HBA2
GE799510	ZNF680; ZNF721
GE80076	TRIM34; TRIM6-TRIM34
GE80078	SMN1; SMN2
GE80219	ZNF286A; ZNF286B
GE80224	H3F3B; H3F3C
GE80234	RANBP2; RGPD1; RGPD2; RGPD3; RGPD4; RGPD5; RGPD6; RGPD8
GE80326	ORM1; ORM2
GE80331	ZNF585A; ZNF585B
GE80398	AKR1C1; AKR1C2
GE804173	ADRA1A; EFCAB2; NICN1; SIRT5; SMAD4; SRSF2IP; ZNF566
GE804972	PDAP1; WWTR1
GE80530	OPN1MW; TEX28
GE80540	EMILIN3; LPIN3
GE80572	FANCA; ZNF276
GE805982	EIF2AK2; FAT3; NLRP12; TLR7; TRIM45; ZNF490
GE80606	OR5P2; OR5P3
GE80627	OR10A2; OR10A5
GE80648	BPY2; BPY2B; BPY2C
GE80716	OCM; OCM2
GE80805	CBWD1; CBWD2; CBWD3; CBWD5; CBWD6
GE80812	C1QTNF5; MFRP
GE80856	NCAPH2; SCO2
GE80863	MYH6; MYH7
GE808932	CA5B; TMEM92
GE80901	HBG1; HBG2
